Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
East Antrim,1,73,Jim,MCCAW,0,994,Progressive Unionist Party,,east-antrim,M
East Antrim,1,74,Margaret Anne,MCKILLOP,0,23,Social Democratic and Labour Party,,east-antrim,F
East Antrim,1,75,Oliver,MCMULLAN,0,24,Sinn Fein,,east-antrim,M
East Antrim,1,76,Maureen,MORROW,0,26,Ulster Unionist Party,,east-antrim,F
East Antrim,1,77,Dawn,PATTERSON,0,111,Green Party,,east-antrim,F
East Antrim,1,78,Alastair,ROSS,1,20,Democratic Unionist Party,,east-antrim,M
East Antrim,1,79,Conor John,Sheridan,0,,Cross-Community Labour Alternative,,East-antrim,M
East Antrim,1,80,John Robert,STEWART,0,26,Ulster Unionist Party,,east-antrim,M
East Antrim,1,81,Ruth,WILSON,0,141,Traditional Unionist Voice,,east-antrim,F
East Londonderry,3,82,Caoimhe,ARCHIBALD,0,24,Sinn Fein,,east-londonderry,F
East Londonderry,3,83,Jordan,ARMSTRONG,0,141,Traditional Unionist Voice,,east-londonderry,M
East Londonderry,3,84,Yvonne,BOYLE,0,19,Alliance Party,,east-londonderry,F
East Londonderry,3,85,Maurice,BRADLEY,0,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,86,Aaron,CALLAN,0,26,Ulster Unionist Party,,east-londonderry,M
East Londonderry,3,87,Stuart,CANNING,0,991,NI Conservatives,,east-londonderry,M
East Londonderry,3,88,Tor,CHRISTIE,0,21,Independent,,east-londonderry,F
East Londonderry,3,89,Amber,HAMMILL,0,111,Green Party,,east-londonderry,F
East Londonderry,3,90,David,HARDING,0,991,NI Conservatives,,east-londonderry,M
East Londonderry,3,91,William,MCCANDLESS,0,26,Ulster Unionist Party,,east-londonderry,M
East Londonderry,3,92,Adrian,MCQUILLAN,1,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,93,Gerry,MULLAN,0,23,Social Democratic and Labour Party,,east-londonderry,M
East Londonderry,3,94,Cathal,O HOISIN,1,24,Sinn Fein,,east-londonderry,M
East Londonderry,3,95,Steven,PARKHILL,0,689,UK Independence Party,,east-londonderry,M
East Londonderry,3,96,George,ROBINSON,1,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,97,Claire,SUGDEN,1,21,Independent,,east-londonderry,F
East Londonderry,3,98,Russell,WATTON,0,994,Progressive Unionist Party,,east-londonderry,M
Fermanagh and South Tyrone,4,99,Rosemary,BARTON,0,26,Ulster Unionist Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,100,Kerri,BLYBERG,0,19,Alliance Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,101,Donald,CRAWFORD,0,141,Traditional Unionist Voice,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,102,John,FEELY,0,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,103,Phil,FLANAGAN,1,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,104,Arlene,FOSTER,1,20,Democratic Unionist Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,105,Michelle,GILDERNEW,0,24,Sinn Fein,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,106,Damien,HARRIS,0,989,NI Labour Representation Committee,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,107,Tanya,JONES,0,111,Green Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,108,Sean,LYNCH,1,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,109,Richie,MCPHILLIPS,0,23,Social Democratic and Labour Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,110,Maurice,MORROW,1,20,Democratic Unionist Party,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,111,Alastair,PATTERSON,1,26,Ulster Unionist Party,,fermanagh-south-tyrone,M
Foyle,5,112,Kathleen,BRADLEY,0,21,Independent,,foyle,F
Foyle,5,113,Maurice,DEVENNEY,0,21,Independent,,foyle,M
Foyle,5,114,Gerard,DIVER,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,115,Alan,DUNLOP,0,991,NI Conservatives,,foyle,M
Foyle,5,116,Mark H,DURKAN,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,117,Colum,EASTWOOD,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,118,Mary,HASSAN,0,111,Green Party,,foyle,F
Foyle,5,119,Julia,KEE,0,26,Ulster Unionist Party,,foyle,F
Foyle,5,120,John,LINDSAY,0,993,Cannabis Is Safer Than Alcohol,,foyle,M
Foyle,5,121,Eamonn,MCCANN,0,999,People Before Profit Alliance,,foyle,M
Foyle,5,122,Raymond,MCCARTNEY,1,24,Sinn Fein,,foyle,M
Foyle,5,123,Chris,MCCAW,0,19,Alliance Party,,foyle,M
Foyle,5,124,Anne,MCCLOSKEY,0,21,Independent,,foyle,F
Foyle,5,125,Martin,MCGUINNESS,1,24,Sinn Fein,,foyle,M
Foyle,5,126,Maeve,MCLAUGHLIN,1,24,Sinn Fein,,foyle,F
Foyle,5,127,Gary,MIDDLETON,1,20,Democratic Unionist Party,,foyle,M
Lagan Valley,6,128,Dan,BARRIOS-ONEILL,0,111,Green Party,,lagan-valley,M
Lagan Valley,6,129,Robbie,BUTLER,0,26,Ulster Unionist Party,,lagan-valley,M
Lagan Valley,6,130,Pat,CATNEY,0,23,Social Democratic and Labour Party,,lagan-valley,M
Lagan Valley,6,131,Jonathan,CRAIG,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,132,Peter,DYNES,0,989,NI Labour Representation Committee,,lagan-valley,M
Lagan Valley,6,133,Paul,GIVAN,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,134,Brenda,HALE,1,20,Democratic Unionist Party,,lagan-valley,F
Lagan Valley,6,135,Brian,HIGGINSON,0,689,UK Independence Party,,lagan-valley,M
Lagan Valley,6,136,Jack,IRWIN,0,991,NI Conservatives,,lagan-valley,M
Lagan Valley,6,137,Trevor,LUNN,1,19,Alliance Party,,lagan-valley,M
Lagan Valley,6,138,Frazer,MCCAMMOND,0,,Democracy First,,lagan-valley,M
Lagan Valley,6,139,Jacqui,MCGEOUGH,0,24,Sinn Fein,,lagan-valley,F
Lagan Valley,6,140,Jonny,ORR,0,21,Independent,,lagan-valley,M
Lagan Valley,6,141,Jenny,PALMER,0,26,Ulster Unionist Party,,lagan-valley,F
Lagan Valley,6,142,Edwin,POOTS,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,143,Lyle,REA,0,141,Traditional Unionist Voice,,lagan-valley,M
Mid Ulster,7,144,Keith Alexandra,BUCHANAN,0,20,Democratic Unionist Party,,mid-ulster,M
Mid Ulster,7,145,Alan,DAY,0,689,UK Independence Party,,mid-ulster,M
Mid Ulster,7,146,Linda,DILLON,0,24,Sinn Fein,,mid-ulster,F
Mid Ulster,7,147,Neidin,HENDRON,0,19,Alliance Party,,mid-ulster,F
Mid Ulster,7,148,Hannah,LOUGHRIN,0,141,Traditional Unionist Voice,,mid-ulster,F
Mid Ulster,7,149,Ian,MCCREA,1,20,Democratic Unionist Party,,mid-ulster,M
